ticket_id,created_at,region,product_line,channel,priority,status,resolution_time_hours,csat_score,issue_category,issue_subcategory,customer_segment,agent_team,ticket_summary
TKT-1164,2026-02-05 12:29:00,LATAM,Subscriptions,Email,Medium,Resolved,12.3,5,Login,Password Reset,Enterprise,Team Gamma,Login issue reported via email for subscriptions
TKT-1165,2026-03-14 11:55:00,Europe,Web Portal,Web Form,Low,Closed,19.5,3,Account,Permissions,Consumer,Team Delta,Account issue reported via web form for web portal
TKT-1166,2026-03-16 11:23:00,North America,Payments,Chat,Medium,Resolved,14.8,3,Bug Report,Notification Failure,Enterprise,Team Beta,Bug Report issue reported via chat for payments
TKT-1167,2026-01-19 10:24:00,APAC,Payments,Web Form,Critical,Resolved,8.8,5,Bug Report,UI Bug,Enterprise,Team Beta,Bug Report issue reported via web form for payments
TKT-1168,2026-01-28 17:42:00,North America,Subscriptions,Email,Low,Closed,29.3,4,Account,Permissions,SMB,Team Beta,Account issue reported via email for subscriptions
TKT-1169,2026-03-07 17:33:00,LATAM,Web Portal,Phone,High,Closed,11.9,5,Performance,Timeout,Consumer,Team Delta,Performance issue reported via phone for web portal
TKT-1170,2026-02-18 14:20:00,LATAM,Mobile App,Web Form,Low,Closed,18.4,4,Shipping,Tracking Missing,Consumer,Team Beta,Shipping issue reported via web form for mobile app
TKT-1171,2026-01-26 08:01:00,LATAM,Mobile App,Chat,Low,Resolved,32.6,3,Performance,Slow Dashboard,Consumer,Team Gamma,Performance issue reported via chat for mobile app
TKT-1172,2026-01-19 12:50:00,LATAM,Web Portal,Phone,Low,Resolved,42.0,3,Billing,Invoice Error,Enterprise,Team Gamma,Billing issue reported via phone for web portal
TKT-1173,2026-03-23 17:59:00,APAC,Subscriptions,Chat,High,Resolved,7.1,4,Refund,Delayed Refund,SMB,Team Delta,Refund issue reported via chat for subscriptions
TKT-1174,2026-01-19 16:11:00,APAC,Web Portal,Web Form,High,Closed,10.2,5,Billing,Double Charge,Consumer,Team Gamma,Billing issue reported via web form for web portal
TKT-1175,2026-02-28 14:26:00,Europe,Mobile App,Web Form,High,Resolved,10.9,4,Login,Password Reset,Enterprise,Team Delta,Login issue reported via web form for mobile app
TKT-1176,2026-02-19 13:18:00,North America,Web Portal,Web Form,High,Resolved,12.2,5,Bug Report,Notification Failure,Consumer,Team Delta,Bug Report issue reported via web form for web portal
TKT-1177,2026-01-21 15:25:00,LATAM,Mobile App,Web Form,Low,Resolved,27.7,3,Billing,Invoice Error,Enterprise,Team Beta,Billing issue reported via web form for mobile app
TKT-1178,2026-03-10 18:29:00,APAC,Payments,Web Form,Critical,Closed,5.4,4,Account,Profile Update,Enterprise,Team Delta,Account issue reported via web form for payments
TKT-1179,2026-01-01 15:54:00,North America,Mobile App,Web Form,Low,Closed,14.5,5,Account,Permissions,Consumer,Team Beta,Account issue reported via web form for mobile app
TKT-1180,2026-02-08 16:34:00,North America,Subscriptions,Phone,Low,In Progress,25.8,2,Bug Report,Data Mismatch,Consumer,Team Delta,Bug Report issue reported via phone for subscriptions
TKT-1181,2026-01-19 18:19:00,North America,Web Portal,Web Form,Low,Resolved,34.3,3,Shipping,Wrong Address,Enterprise,Team Delta,Shipping issue reported via web form for web portal
TKT-1182,2026-01-19 11:13:00,North America,Payments,Chat,Low,Open,16.4,4,Login,Account Locked,Enterprise,Team Gamma,Login issue reported via chat for payments
TKT-1183,2026-01-08 09:40:00,Europe,Payments,Web Form,Medium,Resolved,31.5,2,Shipping,Delay,Consumer,Team Alpha,Shipping issue reported via web form for payments
TKT-1184,2026-02-19 12:20:00,LATAM,Mobile App,Phone,Low,Resolved,30.9,2,Refund,Partial Refund,Consumer,Team Alpha,Refund issue reported via phone for mobile app
TKT-1185,2026-03-17 16:18:00,APAC,Payments,Phone,High,In Progress,9.8,4,Performance,Timeout,Consumer,Team Gamma,Performance issue reported via phone for payments
TKT-1186,2026-01-22 10:21:00,LATAM,Mobile App,Chat,Low,Resolved,40.3,2,Billing,Card Declined,SMB,Team Delta,Billing issue reported via chat for mobile app
TKT-1187,2026-02-26 08:34:00,Europe,Mobile App,Chat,Low,Resolved,30.7,3,Account,Profile Update,SMB,Team Delta,Account issue reported via chat for mobile app
TKT-1188,2026-03-03 17:42:00,Europe,Subscriptions,Chat,Low,Open,39.8,2,Billing,Invoice Error,Consumer,Team Delta,Billing issue reported via chat for subscriptions
TKT-1189,2026-03-05 18:45:00,APAC,Subscriptions,Phone,Critical,Resolved,3.4,5,Login,Account Locked,SMB,Team Alpha,Login issue reported via phone for subscriptions
TKT-1190,2026-02-02 17:38:00,LATAM,Web Portal,Chat,Critical,In Progress,6.2,5,Refund,Partial Refund,Consumer,Team Delta,Refund issue reported via chat for web portal
TKT-1191,2026-01-28 15:19:00,APAC,Web Portal,Web Form,High,Resolved,14.0,5,Shipping,Tracking Missing,SMB,Team Gamma,Shipping issue reported via web form for web portal
TKT-1192,2026-01-14 09:50:00,LATAM,Web Portal,Chat,High,Resolved,6.6,3,Account,Plan Change,Consumer,Team Delta,Account issue reported via chat for web portal
TKT-1193,2026-02-04 18:00:00,North America,Mobile App,Web Form,Low,Resolved,25.4,1,Shipping,Tracking Missing,Consumer,Team Gamma,Shipping issue reported via web form for mobile app
TKT-1194,2026-01-18 11:34:00,APAC,Web Portal,Email,Low,Closed,22.7,4,Performance,App Crash,Consumer,Team Delta,Performance issue reported via email for web portal
TKT-1195,2026-01-23 15:10:00,APAC,Payments,Email,Medium,In Progress,24.8,2,Shipping,Tracking Missing,Consumer,Team Delta,Shipping issue reported via email for payments
TKT-1196,2026-02-25 08:00:00,APAC,Mobile App,Phone,Critical,Resolved,4.2,5,Shipping,Delay,SMB,Team Beta,Shipping issue reported via phone for mobile app
TKT-1197,2026-02-17 11:55:00,APAC,Mobile App,Email,Critical,Resolved,8.0,5,Performance,App Crash,Consumer,Team Alpha,Performance issue reported via email for mobile app
TKT-1198,2026-01-27 13:42:00,APAC,Subscriptions,Email,Medium,Closed,30.6,1,Billing,Card Declined,Enterprise,Team Gamma,Billing issue reported via email for subscriptions
TKT-1199,2026-02-04 14:05:00,Europe,Payments,Phone,Medium,Resolved,10.9,3,Refund,Delayed Refund,Consumer,Team Delta,Refund issue reported via phone for payments
TKT-1200,2026-02-03 13:52:00,Europe,Mobile App,Chat,High,Closed,13.5,4,Performance,App Crash,SMB,Team Gamma,Performance issue reported via chat for mobile app
TKT-1201,2026-03-09 10:00:00,APAC,Mobile App,Phone,Medium,Resolved,30.8,2,Login,MFA Issue,SMB,Team Gamma,Login issue reported via phone for mobile app
TKT-1202,2026-02-06 14:20:00,APAC,Payments,Web Form,Low,Closed,43.3,1,Refund,Partial Refund,Consumer,Team Beta,Refund issue reported via web form for payments
TKT-1203,2026-01-05 08:55:00,Europe,Subscriptions,Phone,Low,Resolved,27.8,4,Bug Report,UI Bug,Consumer,Team Delta,Bug Report issue reported via phone for subscriptions
TKT-1204,2026-03-16 08:23:00,North America,Web Portal,Email,Medium,Resolved,13.0,4,Account,Plan Change,Consumer,Team Gamma,Account issue reported via email for web portal
TKT-1205,2026-01-04 14:44:00,APAC,Subscriptions,Phone,Medium,Closed,12.0,3,Bug Report,UI Bug,Enterprise,Team Beta,Bug Report issue reported via phone for subscriptions
TKT-1206,2026-03-02 14:15:00,LATAM,Payments,Phone,High,Resolved,13.1,5,Bug Report,Notification Failure,Enterprise,Team Beta,Bug Report issue reported via phone for payments
TKT-1207,2026-02-04 15:29:00,North America,Subscriptions,Phone,Critical,In Progress,4.8,5,Login,Account Locked,Consumer,Team Delta,Login issue reported via phone for subscriptions
TKT-1208,2026-01-08 12:59:00,North America,Mobile App,Email,Medium,Resolved,19.3,3,Refund,Partial Refund,Consumer,Team Gamma,Refund issue reported via email for mobile app
TKT-1209,2026-03-16 10:07:00,LATAM,Payments,Email,Low,Closed,14.9,5,Refund,Partial Refund,Consumer,Team Beta,Refund issue reported via email for payments
TKT-1210,2026-03-01 09:01:00,LATAM,Subscriptions,Phone,High,Open,6.4,4,Account,Permissions,Enterprise,Team Delta,Account issue reported via phone for subscriptions
TKT-1211,2026-02-22 14:00:00,Europe,Subscriptions,Email,Medium,Closed,12.7,5,Billing,Double Charge,Enterprise,Team Delta,Billing issue reported via email for subscriptions
TKT-1212,2026-03-15 17:35:00,APAC,Payments,Phone,Medium,Resolved,11.0,4,Login,Password Reset,Consumer,Team Delta,Login issue reported via phone for payments
TKT-1213,2026-03-18 18:22:00,LATAM,Mobile App,Phone,High,Closed,6.2,4,Shipping,Delay,Enterprise,Team Gamma,Shipping issue reported via phone for mobile app
TKT-1214,2026-01-18 13:37:00,APAC,Payments,Web Form,High,Closed,13.5,4,Performance,Timeout,SMB,Team Beta,Performance issue reported via web form for payments
TKT-1215,2026-03-09 11:17:00,North America,Subscriptions,Email,High,Resolved,10.8,4,Shipping,Tracking Missing,Consumer,Team Beta,Shipping issue reported via email for subscriptions
TKT-1216,2026-02-24 17:46:00,North America,Payments,Phone,Low,Resolved,29.5,3,Account,Profile Update,Consumer,Team Beta,Account issue reported via phone for payments
TKT-1217,2026-02-11 08:36:00,Europe,Payments,Chat,Medium,Closed,17.6,2,Shipping,Tracking Missing,Consumer,Team Beta,Shipping issue reported via chat for payments
TKT-1218,2026-01-13 09:36:00,Europe,Web Portal,Chat,High,Resolved,12.2,5,Refund,Refund Denied,Enterprise,Team Alpha,Refund issue reported via chat for web portal
TKT-1219,2026-02-03 16:23:00,APAC,Mobile App,Chat,Critical,Resolved,5.3,4,Login,Account Locked,Consumer,Team Gamma,Login issue reported via chat for mobile app
TKT-1220,2026-02-18 13:53:00,Europe,Payments,Email,Medium,Resolved,15.0,4,Billing,Invoice Error,Consumer,Team Alpha,Billing issue reported via email for payments
TKT-1221,2026-01-24 18:24:00,APAC,Mobile App,Phone,Critical,In Progress,10.9,5,Performance,Slow Dashboard,Consumer,Team Beta,Performance issue reported via phone for mobile app
TKT-1222,2026-02-22 17:58:00,APAC,Payments,Chat,Medium,Resolved,13.6,4,Shipping,Tracking Missing,Enterprise,Team Delta,Shipping issue reported via chat for payments
TKT-1223,2026-01-12 18:52:00,North America,Payments,Web Form,Medium,Open,22.1,3,Bug Report,Data Mismatch,Consumer,Team Gamma,Bug Report issue reported via web form for payments
TKT-1224,2026-01-29 09:33:00,North America,Subscriptions,Chat,Medium,In Progress,19.4,3,Refund,Refund Denied,SMB,Team Alpha,Refund issue reported via chat for subscriptions
TKT-1225,2026-01-26 16:09:00,APAC,Subscriptions,Email,Medium,Closed,21.4,5,Billing,Invoice Error,Consumer,Team Delta,Billing issue reported via email for subscriptions
TKT-1226,2026-02-23 16:46:00,LATAM,Subscriptions,Email,Low,Resolved,30.0,3,Account,Plan Change,Consumer,Team Delta,Account issue reported via email for subscriptions
TKT-1227,2026-01-21 12:05:00,North America,Payments,Phone,Low,Closed,11.1,3,Refund,Refund Denied,SMB,Team Beta,Refund issue reported via phone for payments
TKT-1228,2026-03-16 09:10:00,North America,Mobile App,Phone,Medium,Resolved,30.5,2,Account,Permissions,Enterprise,Team Gamma,Account issue reported via phone for mobile app
TKT-1229,2026-01-18 10:22:00,LATAM,Web Portal,Web Form,Low,Closed,34.4,4,Account,Permissions,Consumer,Team Delta,Account issue reported via web form for web portal
TKT-1230,2026-01-13 17:07:00,North America,Payments,Chat,High,Closed,13.9,5,Billing,Double Charge,SMB,Team Delta,Billing issue reported via chat for payments
TKT-1231,2026-01-28 17:42:00,Europe,Subscriptions,Phone,Low,Closed,42.9,2,Refund,Delayed Refund,Enterprise,Team Delta,Refund issue reported via phone for subscriptions
TKT-1232,2026-02-14 17:35:00,LATAM,Payments,Phone,Medium,Closed,24.7,4,Shipping,Wrong Address,Consumer,Team Gamma,Shipping issue reported via phone for payments
TKT-1233,2026-03-19 08:17:00,APAC,Web Portal,Chat,Critical,Closed,6.3,4,Shipping,Tracking Missing,Consumer,Team Delta,Shipping issue reported via chat for web portal
TKT-1234,2026-01-22 09:55:00,North America,Payments,Email,Medium,Resolved,8.6,4,Bug Report,UI Bug,Consumer,Team Delta,Bug Report issue reported via email for payments
TKT-1235,2026-02-16 14:06:00,North America,Web Portal,Chat,High,Open,7.4,4,Shipping,Tracking Missing,Consumer,Team Alpha,Shipping issue reported via chat for web portal
TKT-1236,2026-03-09 17:14:00,APAC,Payments,Web Form,High,Resolved,17.2,4,Performance,Timeout,Enterprise,Team Delta,Performance issue reported via web form for payments
TKT-1237,2026-02-22 15:51:00,North America,Web Portal,Phone,Medium,Resolved,1.4,4,Login,MFA Issue,Enterprise,Team Alpha,Login issue reported via phone for web portal
TKT-1238,2026-02-20 13:46:00,Europe,Mobile App,Web Form,Low,Closed,24.3,4,Billing,Invoice Error,Consumer,Team Alpha,Billing issue reported via web form for mobile app
TKT-1239,2026-01-27 10:13:00,APAC,Web Portal,Email,Low,Resolved,19.0,3,Shipping,Wrong Address,Consumer,Team Beta,Shipping issue reported via email for web portal
TKT-1240,2026-01-31 17:09:00,LATAM,Payments,Phone,Low,Resolved,38.0,4,Billing,Invoice Error,SMB,Team Beta,Billing issue reported via phone for payments
